SYMBOL, SERIES, DATE1,PREVCL, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
MITTAL, EQ, 30-Jun-2020,137.2,130.35,130.35,130.35,130.35,130.35,130.35,706,0.92,17,706,100
MMFL, EQ, 30-Jun-2020,185.1,183.5,186.1,182.8,184.5,184,184.41,13446,24.8,392,9106,67.72
MMP, EQ, 30-Jun-2020,87.15,89.25,89.25,81,82,82.15,82.67,10338,8.55,138,7841,75.85
MMTC, EQ, 30-Jun-2020,16.8,16.95,17.2,16.75,16.75,16.8,16.98,540290,91.73,1419,225822,41.8
MODIRUBBER, BE, 30-Jun-2020,31.85,31.85,32,31.45,31.6,31.6,31.88,3271,1.04,14, -, -
MOHOTAIND, BE, 30-Jun-2020,15.1,15.85,15.85,15.85,15.85,15.85,15.85,3150,0.5,19, -, -
MOIL, EQ, 30-Jun-2020,142.95,143.4,145,139.1,140,140.8,141.3,314747,444.74,9173,200631,63.74
MOKSH, SM, 30-Jun-2020,23.5,23,23,23,23,23,23,24000,5.52,3,24000,100
MOLDTECH, EQ, 30-Jun-2020,37.3,38.5,38.5,36.1,36.75,36.35,37.23,19699,7.33,229,13024,66.12
MOLDTKPAC, EQ, 30-Jun-2020,201.1,206.8,206.8,198.6,201.15,200.75,201.22,21253,42.76,1031,11125,52.35
MONTECARLO, EQ, 30-Jun-2020,164.3,165.95,166,164,165.5,165.15,164.99,26664,43.99,1186,17579,65.93
MORARJEE, EQ, 30-Jun-2020,12.95,13.4,13.4,12.4,13,12.9,12.69,6357,0.81,44,4643,73.04
MOREPENLAB, EQ, 30-Jun-2020,24.25,24.45,24.45,23.05,23.05,23.05,23.32,2385129,556.21,7943,1307929,54.84
MOTHERSUMI, EQ, 30-Jun-2020,95.3,96.2,98.7,94.35,94.5,94.65,96.33,11156555,10746.8,46249,3081059,27.62
MOTILALOFS, EQ, 30-Jun-2020,580.95,583,595.5,575,592.2,591.8,586.56,104544,613.21,4407,41318,39.52
MOTOGENFIN, BE, 30-Jun-2020,21.8,21.6,21.6,20.75,20.8,20.8,20.91,9661,2.02,94, -, -
MPHASIS, EQ, 30-Jun-2020,906.45,909.8,909.8,868,869,878.75,886.13,224786,1991.9,13711,132092,58.76
MPSLTD, EQ, 30-Jun-2020,292.6,292.6,305.95,275.1,277.5,277.2,286.45,14152,40.54,946,7181,50.74
MPTODAY, SM, 30-Jun-2020,18.05,17.15,17.15,17.15,17.15,17.15,17.15,2000,0.34,1,2000,100
MRF, EQ, 30-Jun-2020,65196.9,66480,67725,65750,67100,67274.5,66708.75,24297,16208.22,14462,6402,26.35
MRO-TEK, EQ, 30-Jun-2020,24.7,24.7,25.85,23.5,25.8,25.75,25.54,22549,5.76,30,20877,92.59
MRPL, EQ, 30-Jun-2020,38.2,38.4,38.55,36.5,36.8,36.65,37.33,1093991,408.34,5103,500924,45.79
MSPL, BE, 30-Jun-2020,7.85,8.2,8.2,7.6,7.6,7.65,7.91,23184,1.83,149, -, -
MSTCLTD, EQ, 30-Jun-2020,129.15,131,131,116.95,122,122.2,125.4,205187,257.3,5800,105341,51.34
MTEDUCARE, EQ, 30-Jun-2020,16.3,15.65,16.3,15.5,15.5,15.5,15.57,75777,11.8,236,65708,86.71
MTNL, EQ, 30-Jun-2020,9.15,9.2,9.35,9,9.1,9.1,9.22,725001,66.87,22474,436846,60.25
MUKANDENGG, BE, 30-Jun-2020,9.45,9.45,9.65,9.45,9.45,9.45,9.52,3324,0.32,12, -, -
MUKANDLTD, EQ, 30-Jun-2020,23.65,22.5,22.5,22.5,22.5,22.5,22.5,5226,1.18,23,5226,100
MUKTAARTS, BE, 30-Jun-2020,24.75,24.75,24.8,23.55,23.55,23.65,24.08,11390,2.74,79, -, -
MUNJALAU, EQ, 30-Jun-2020,50.25,55.35,56.5,53,53.5,53.6,54.55,1288151,702.75,8185,300336,23.32
MUNJALSHOW, EQ, 30-Jun-2020,97.55,99.8,101.85,96.5,97.2,97.75,99.02,16965,16.8,576,8969,52.87
MURUDCERA, EQ, 30-Jun-2020,17.1,17.3,17.95,16.6,16.8,16.75,17.02,66151,11.26,388,37193,56.22
MUTHOOTCAP, EQ, 30-Jun-2020,374.9,374.9,383.5,362.9,364,366.2,371.17,11942,44.33,685,8365,70.05
MUTHOOTFIN, EQ, 30-Jun-2020,1085.05,1095,1105.85,1074,1090,1086.05,1087.33,1436026,15614.27,51904,465993,32.45
N100, EQ, 30-Jun-2020,731.08,748,750,735.05,739,738.95,740.91,10431,77.28,651,7554,72.42
NABARD, N1, 30-Jun-2020,1193.01,1193,1193,1193,1193,1193,1193,1,0.01,1,1,100
NABARD, N2, 30-Jun-2020,1235.16,1238.48,1243.99,1234,1242,1241.87,1238.09,2378,29.44,36,2050,86.21
